station_number,station_name,total_departures,active_days,weekday_departures,weekend_departures,morning_peak_departures,evening_peak_departures,avg_departure_duration_ms,avg_daily_departures,weekend_departure_share,morning_peak_departure_share,evening_peak_departure_share,total_arrivals,active_days_arr,avg_daily_arrivals,net_flow,imbalance_ratio,cluster,recommended_action,pca1,pca2
959.0,"Milroy Walk, South Bank",747.0,30.0,528.0,219.0,80.0,259.0,979688.6532797858,24.9,0.2931726907630522,0.107095046854083,0.3467202141900937,784,30,26.133333333333333,37.0,0.024151436031331592,4,Prioritise evening dock relief and destination-side balancing,0.41218770479600814,-1.277151341022121
960.0,"Hop Exchange, The Borough",3552.0,30.0,2385.0,1167.0,335.0,863.0,1691872.3274211711,118.4,0.3285472972972973,0.09431306306306306,0.24296171171171171,4479,30,149.3,927.0,0.11541334661354581,1,High-priority core station for monitoring and capacity review,5.380974041801423,2.529871133130833
961.0,"Union Street, The Borough",995.0,30.0,721.0,274.0,212.0,259.0,929426.4281407035,33.166666666666664,0.27537688442211056,0.21306532663316582,0.26030150753768844,1003,30,33.43333333333333,8.0,0.00400200100050025,2,Standard commuter-period rebalancing,-0.07775601193295044,-0.13380566525971624
962.0,"Stamford Street, South Bank",726.0,30.0,507.0,219.0,193.0,164.0,1118847.3774104684,24.2,0.30165289256198347,0.26584022038567495,0.22589531680440772,809,30,26.966666666666665,83.0,0.054036458333333336,2,Standard commuter-period rebalancing,-0.9619395374760694,0.0017908276437949536
963.0,"Bankside Mix, Bankside",1017.0,30.0,718.0,299.0,113.0,359.0,1623987.5034414947,33.9,0.29400196656833827,0.1111111111111111,0.3529990167158309,1151,31,37.12903225806452,134.0,0.06177962194559705,4,Prioritise evening dock relief and destination-side balancing,0.9060918411565735,-1.1115909386029565
964.0,"Bath Street, St. Luke's",1691.0,30.0,1273.0,418.0,266.0,535.0,1107044.8066232998,56.36666666666667,0.24719101123595505,0.15730337078651685,0.3163808397397989,1715,30,57.166666666666664,24.0,0.007044320516583505,1,High-priority core station for monitoring and capacity review,1.6846960119829124,-0.14857694828862322
965.0,"Tachbrook Street, Victoria",1027.0,30.0,717.0,310.0,217.0,207.0,958786.6251217137,34.233333333333334,0.3018500486854917,0.2112950340798442,0.20155793573515093,983,30,32.766666666666666,-44.0,0.02187966185977126,2,Standard commuter-period rebalancing,-0.3962029610272529,0.31722388725785006
966.0,"New Kent Road, The Borough",1088.0,30.0,689.0,399.0,281.0,173.0,1438907.174632353,36.266666666666666,0.36672794117647056,0.25827205882352944,0.15900735294117646,1053,30,35.1,-35.0,0.016339869281045753,2,Standard commuter-period rebalancing,-0.7560074709461374,1.3261816736397098
967.0,"Golden Lane, Barbican",791.0,30.0,592.0,199.0,88.0,287.0,825999.3868520859,26.366666666666667,0.2515802781289507,0.11125158027812895,0.36283185840707965,772,30,25.733333333333334,-19.0,0.012148337595907928,4,Prioritise evening dock relief and destination-side balancing,0.5461758271344085,-1.5791828899851097
968.0,"Warwick Row, Westminster",1673.0,30.0,1282.0,391.0,188.0,647.0,1452116.3413030484,55.766666666666666,0.2337118947997609,0.11237298266586969,0.38673042438732813,1930,30,64.33333333333333,257.0,0.07130965593784684,4,Prioritise evening dock relief and destination-side balancing,2.3631183508086404,-1.0102781966039147
